a	a:
steypa	s t ei: p a
steypast	s t ei: p a s t
steypir	s t ei: p I r
steypt	s t ei f t
steyptist	s t ei f t I s t
steyptu	s t ei f t Y
steyptust	s t ei f t Y s t
steypu	s t ei: p Y
steyta	s t ei: t a
steytti	s t ei h t I
steyttu	s t ei h t Y
steðja	s t E D j a
steðjar	s t E D j a r
steðjaði	s t E D j a D I
steðjuðu	s t E D j Y D Y
stiftamtmanni	s t I f t a m_0 t m a n I
stiga	s t I: G a
stigaganginn	s t I: G a k au J c I n
stigaganginum	s t I: G a k au J c I n Y m
stigagangurinn	s t I: G a k au N k Y r I n
stigahæstur	s t I: G a h ai s t Y r
stigamuns	s t I: G a m Y n s
stigana	s t I: G a n a
stigann	s t I: G a n
stiganum	s t I: G a n Y m
stigapallinn	s t I: G a p a t l I n
stigapallinum	s t I: G a p a t l I n Y m
stigendingunni	s t i G E n t i N k Y n I
stigi	s t i: j I
stigin	s t i: j I n
stigið	s t i: j I D
stigs	s t I x s
stigu	s t I: G Y
stigum	s t I: G Y m
stigvaxandi	s t I: G v a k s a n t I
stikaði	s t I: k a D I
stiki	s t I: c I
stikkfrí	s t I h k f r i
stikkfríar	s t I h k f r i j a r
stikkilsber	s t I h c I l s p E r
stikla	s t I h k l a
stiklar	s t I h k l a r
stiklað	s t I h k l a D
stiklu	s t I h k l Y
stilkbeðja	s t I l_0 k p E D j a
stilkum	s t I l_0 k Y m
stilla	s t I t l a
stillanlegt	s t I t l a n l E x t
stilli	s t I t l I
stilling	s t I t l i N k
stillingu	s t I t l i N k Y
stillir	s t I t l I r
stillt	s t I l_0 t
stillti	s t I l_0 t I
stilltu	s t I l_0 t Y
stilltum	s t I l_0 t Y m
stilltur	s t I l_0 t Y r
stimamjúkur	s t I: m a m j u: k Y r
stimpil	s t I m_0 p I l
stimpla	s t I m_0 p l a
stimplað	s t I m_0 p l a D
stimplaðar	s t I m_0 p l a D a r
stimplaði	s t I m_0 p l a D I
stimplaðu	s t I m_0 p l a D Y
stimpluð	s t I m_0 p l Y D
stinga	s t i N k a
stingandi	s t i N k a n t I
stinghylki	s t i N k h I l_0 c I
stingi	s t i J c I
stingst	s t i N s t
stingur	s t i N k Y r
stinn	s t I n
stinna	s t I n a
stinningskaldi	s t I n i N k s k a l t I
stinnum	s t I n Y m
stinnur	s t I n Y r
stirndi	s t I r n t I
stirnir	s t I r t n I r
stirt	s t I r_0 t
stirð	s t I r D
stirðlega	s t I r D l E G a
stirðum	s t I r D Y m
stirður	s t I r D Y r
stjakar	s t j a: k a r
stjana	s t j a: n a
stjarfir	s t j a r v I r
stjarna	s t j a r t n a
stjarnan	s t j a r t n a n
stjarnanna	s t j a r t n a n a
stjá	s t j au:
stjána	s t j au: n a
stjáni	s t j au: n I
stjóri	s t j ou: r I
stjórn	s t j ou r t n_0
stjórna	s t j ou r t n a
stjórnandans	s t j ou r t n a n t a n s
stjórnandinn	s t j ou r t n a n t I n
stjórnar	s t j ou r t n a r
stjórnarandstaðan	s t j ou r t n a r a n t s t a D a n
stjórnarandstæðingar	s t j ou r t n a r a n t s t ai D i N k a r
stjórnarandstöðuna	s t j ou r t n a r a n t s t 9 D Y n a
stjórnarandstöðunnar	s t j ou r t n a r a n t s t 9 D Y n a r
stjórnarandstöðunni	s t j ou r t n a r a n t s t 9 D Y n I
stjórnarflokkarnir	s t j ou r t n a r f l O h k a r t n I r
stjórnarformann	s t j ou r t n a r f O r m a n
stjórnarformanni	s t j ou r t n a r f O r m a n I
stjórnarformanns	s t j ou r t n a r f O r m a n s
stjórnarformaðurinn	s t j ou r t n a r f O r m a D Y r I n
stjórnarinnar	s t j ou r t n a r I n a r
stjórnarskráin	s t j ou r t n a r_0 s k r au: I n
stjórnarskránni	s t j ou r t n a r_0 s k r au n I
stjórnarskrárinnar	s t j ou r t n a r_0 s k r au: r I n a r
stjórnast	s t j ou r t n a s t
stjórnað	s t j ou r t n a D
stjórnaði	s t j ou r t n a D I
stjórnendur	s t j ou r t n E n t Y r
stjórni	s t j ou r t n I
stjórnin	s t j ou r t n I n
stjórnina	s t j ou r t n I n a
stjórninni	s t j ou r t n I n I
stjórnir	s t j ou r t n I r
stjórnmálanna	s t j ou r t n_0 m au l a n a
stjórnmálaskýrendur	s t j ou r t n_0 m au l a s c i: r E n t Y r
stjórnmálunum	s t j ou r t n_0 m au l O n Y m
stjórnskipulegt	s t j ou r t n_0 s c I p Y l E x t
stjórnsýslunnar	s t j ou r t n_0 s i s t l Y n a r
stjórnsýslunni	s t j ou r t n_0 s i s t l Y n I
stjórnum	s t j ou r t n Y m
stjórnun	s t j ou r t n Y n
stjórnunar	s t j ou r t n Y n a r
stjórnuðu	s t j ou r t n Y D Y
stjórnvölinn	s t j ou r t n v 9 l I n
stjörnu	s t j 9 r t n Y
stjörnubjartan	s t j 9 r t n Y p j a r_0 t a n
stjörnum	s t j 9 r t n Y m
stjörnuna	s t j 9 r t n Y n a
stjörnunnar	s t j 9 r t n Y n a r
stjörnunni	s t j 9 r t n Y n I
stjörnunum	s t j 9 r t n O n Y m
stjörnur	s t j 9 r t n Y r
stjörnurnar	s t j 9 r t n Y r t n a r
stjörnuskoðunarforrit	s t j 9 r t n Y s k O D Y n a r f O r I t
stjörnuspegill	s t j 9 r t n Y s p ei j I t l_0
stjörnuspána	s t j 9 r t n Y s p au n a
stjúpfaðir	s t j u: p f a D I r
stjúpföður	s t j u: p f 9 D Y r
stjúpi	s t j u: p I
stofa	s t O: v a
stofan	s t O: v a n
stofn	s t O p n_0
stofna	s t O p n a
stofnana	s t O p n a n a
stofnananna	s t O p n a n a n a
stofnanir	s t O p n a n I r
stofnanirnar	s t O p n a n I r t n a r
stofnanna	s t O p n a n a
stofnar	s t O p n a r
stofnað	s t O p n a D
stofnaðar	s t O p n a D a r
stofnaði	s t O p n a D I
stofnaðir	s t O p n a D I r
stofnaður	s t O p n a D Y r
stofnendur	s t O p n E n t Y r
stofnfrumusöfnunar	s t O p n_0 f r Y m Y s 9 p n Y n a r
stofnfé	s t O p n_0 f j E
stofni	s t O p n I
stofninn	s t O p n I n
stofninum	s t O p n I n Y m
stofns	s t O p n_0 s
stofnsamninginn	s t O p n_0 s a m n i J c I n
stofnsins	s t O p n_0 s I n s
stofnum	s t O p n Y m
stofnun	s t O p n Y n
stofnunar	s t O p n Y n a r
stofnunarinnar	s t O p n Y n a r I n a r
stofnunin	s t O p n Y n I n
stofnunina	s t O p n Y n I n a
stofnuninni	s t O p n Y n I n I
stofnunum	s t O p n Y n Y m
stofnuð	s t O p n Y D
stofnuðu	s t O p n Y D Y
stofnuðum	s t O p n Y D Y m
stofu	s t O: v Y
stofum	s t O: v Y m
stofuna	s t O: v Y n a
stofunnar	s t O: v Y n a r
stofunni	s t O: v Y n I
stofuprýðin	s t O: v Y p_h r i D I n
stofur	s t O: v Y r
stofurnar	s t O: v Y r t n a r
stokk	s t O h k
stokka	s t O h k a
stokkaði	s t O h k a D I
stokkhólm	s t O h k h ou l m
stokkhólmi	s t O h k h ou l m I
stokkhólms	s t O h k h ou l m s
stokkhólmur	s t O h k h ou l m Y r
stokkinn	s t O h c I n
stokkið	s t O h c I D
stokknum	s t O h k n Y m
stolinn	s t O: l I n
stolið	s t O: l I D
stolna	s t O l n a
stolnum	s t O l n Y m
stolt	s t O l_0 t
stoltar	s t O l_0 t a r
stoltari	s t O l_0 t a r I
stolti	s t O l_0 t I
stoltir	s t O l_0 t I r
stoltið	s t O l_0 t I D
stoltu	s t O l_0 t Y
stoltur	s t O l_0 t Y r
stopp	s t O h p
stoppa	s t O h p a
stoppar	s t O h p a r
stoppað	s t O h p a D
stoppaði	s t O h p a D I
stoppaður	s t O h p a D Y r
stoppistöð	s t O h p I s t 9: D
stoppistöðinni	s t O h p I s t 9: D I n I
stoppuð	s t O h p Y D
stoppuðu	s t O h p Y D Y
stoppuðum	s t O h p Y D Y m
storka	s t O r_0 k a
storkan	s t O r_0 k a n
storkar	s t O r_0 k a r
storkna	s t O r_0 k n a
storknað	s t O r_0 k n a D
storknuð	s t O r_0 k n Y D
storknuðu	s t O r_0 k n Y D Y
storm	s t O r m
stormar	s t O r m a r
stormi	s t O r m I
stormur	s t O r m Y r
stormurinn	s t O r m Y r I n
stormvatn	s t O r m v a h t n_0
storð	s t O r D
stoð	s t O: D
stoðar	s t O: D a r
stoðaði	s t O: D a D I
stoðir	s t O: D I r
stoðsendingarnar	s t O D s E n t i N k a t n a r
stoðum	s t O: D Y m
strand	s t r a n t
stranda	s t r a n t a
strandar	s t r a n t a r
strandaði	s t r a n t a D I
strandbergi	s t r a n t p E r c I
strandbergs	s t r a n t p E r k s
strandborgin	s t r a n t p O r c I n
strandjaðar	s t r a n t j a D a r
strandlengjunni	s t r a n t l ei J c Y n I
strandmannsins	s t r a n t m a n s I n s
strandveginum	s t r a n t v ei j I n Y m
stranga	s t r au N k a
strangan	s t r au N k a n
strangar	s t r au N k a r
strangari	s t r au N k a r I
stranglega	s t r au N k l E G a
strangra	s t r au N k r a
strangri	s t r au N k r I
strangt	s t r au N_0 t
strangur	s t r au N k Y r
strassborg	s t r a s p O r k
strauja	s t r 9Y j a
straujunar	s t r 9Y j Y n a r
straujárnið	s t r 9Y j au r t n I D
strauk	s t r 9Y: k
straukst	s t r 9Y x s t
straum	s t r 9Y: m
strauma	s t r 9Y: m a
straumar	s t r 9Y: m a r
straumhvörfum	s t r 9Y m k v 9 r v Y m
straumi	s t r 9Y: m I
strauminn	s t r 9Y: m I n
straumnum	s t r 9Y m n Y m
straums	s t r 9Y m s
straumum	s t r 9Y: m Y m
straumur	s t r 9Y: m Y r
strax	s t r a k s
streita	s t r ei: t a
streitast	s t r ei: t a s t
streitu	s t r ei: t Y
strekkt	s t r E x t
strekktist	s t r E x t I s t
strekktust	s t r E x t Y s t
strendur	s t r E n t Y r
streng	s t r ei N k
strengdi	s t r ei N t I
strengi	s t r ei J c I
strengina	s t r ei J c I n a
strengir	s t r ei J c I r
strengja	s t r ei J c a
strengjum	s t r ei J c Y m
strengur	s t r ei N k Y r
stress	s t r E s
stressandi	s t r E s a n t I
stressaðar	s t r E s a D a r
stressaður	s t r E s a D Y r
stressi	s t r E s I
stressið	s t r E s I D
stressuna	s t r E s Y n a
stressuð	s t r E s Y D
streymdi	s t r ei m t I
streymdu	s t r ei m t Y
streymi	s t r ei: m I
streymir	s t r ei: m I r
streymt	s t r ei m_0 t
streð	s t r E: D
strigann	s t r I: G a n
strigapokann	s t r I: G a p O: k a n
strika	s t r I: k a
strikar	s t r I: k a r
strikað	s t r I: k a D
striki	s t r I: c I
strikinu	s t r I: c I n Y
strikið	s t r I: c I D
strindberg	s t r I n t p E r k
strippolínubúllur	s t r I h p O l i n Y p u l Y r
strit	s t r I: t
strita	s t r I: t a
stritað	s t r I: t a D
striti	s t r I: t I
stritið	s t r I: t I D
strjálbyggð	s t r j au l p I G D
strjálbýlt	s t r j au l p i l_0 t
strjálli	s t r j au t l I
strjúka	s t r j u: k a
strjúkast	s t r j u: k a s t
strjúktu	s t r j u x t Y
strjúpann	s t r j u: p a n
strok	s t r O: k
stroka	s t r O: k a
strokin	s t r O: c I n
strokinn	s t r O: c I n
strokist	s t r O: c I s t
strokið	s t r O: c I D
strokka	s t r O h k a
strokkar	s t r O h k a r
strokkinn	s t r O h c I n
strokleður	s t r O: k l E D Y r
stroku	s t r O: k Y
strokufanginn	s t r O: k Y f au J c I n
strokum	s t r O: k Y m
strokurnar	s t r O k Y t n a r
stromp	s t r O m_0 p
strompa	s t r O m_0 p a
stromphúfan	s t r O m_0 p h u: v a n
strompi	s t r O m_0 p I
strompinn	s t r O m_0 p I n
strompinum	s t r O m_0 p I n Y m
strompleikurinn	s t r O m_0 p l ei k Y r I n
strompunum	s t r O m_0 p Y n Y m
strompur	s t r O m_0 p Y r
struku	s t r Y: k Y
strukust	s t r Y: k Y s t
strumparnir	s t r Y m_0 p a r t n I r
strunsaði	s t r Y n s a D I
strympu	s t r I m_0 p Y
stráhatt	s t r au: h a h t
strái	s t r au: I
stráin	s t r au: I n
stráið	s t r au: I D
strák	s t r au: k
stráka	s t r au: k a
strákana	s t r au: k a n a
strákanna	s t r au: k a n a
strákar	s t r au: k a r
stráklingur	s t r au h k l i N k Y r
stráknum	s t r au h k n Y m
stráksi	s t r au k s I
stráksins	s t r au: k s I n s
strákunum	s t r au: k O n Y m
strákur	s t r au: k Y r
strákurinn	s t r au: k Y r I n
stráunum	s t r au: O n Y m
stráð	s t r au: D
stræti	s t r ai: t I
strætinu	s t r ai: t I n Y
strætisvagnana	s t r ai: t I s v a k n a n a
strætisvagni	s t r ai: t I s v a k n I
strætið	s t r ai: t I D
strætó	s t r ai: t ou
stríddi	s t r i t I
strípaðar	s t r i: p a D a r
strípur	s t r i: p Y r
strítt	s t r i h t
stríð	s t r i: D
stríða	s t r i: D a
stríðandi	s t r i: D a n t I
stríði	s t r i: D I
stríðin	s t r i: D I n
stríðinn	s t r i: D I n
stríðinu	s t r i: D I n Y
stríðir	s t r i: D I r
stríðið	s t r i: D I D
stríðni	s t r i D n I
stríðnislega	s t r i D n I s t l E G a
stríðs	s t r i D s
stríðslistinni	s t r i D s t l I s t I n I
stríðsrekstrinum	s t r i: D s r E k s t r I n Y m
stríðum	s t r i: D Y m
stríður	s t r i: D Y r
strönd	s t r 9 n t
ströndina	s t r 9 n t I n a
ströndinni	s t r 9 n t I n I
ströndum	s t r 9 n t Y m
ströng	s t r 9Y N k
ströngu	s t r 9Y N k Y
ströngum	s t r 9Y N k Y m
ströngustu	s t r 9Y N k Y s t Y
strýkst	s t r i x s t
stubbarnir	s t Y p a r t n I r
stubbinn	s t Y p I n
stubbnum	s t Y p n Y m
stubbs	s t Y p s
stubbur	s t Y p Y r
studd	s t Y t
studdi	s t Y t I
studdir	s t Y t I r
studdist	s t Y t I s t
studdu	s t Y t Y
stugga	s t Y k a
stukku	s t Y h k Y
stukkum	s t Y h k Y m
stulli	s t Y l I
stultur	s t Y l_0 t Y r
stumra	s t Y m r a
stumraði	s t Y m r a D I
stuna	s t Y: n a
stund	s t Y n t
stunda	s t Y n t a
stundanna	s t Y n t a n a
stundar	s t Y n t a r
stundarinnar	s t Y n t a r I n a r
stundað	s t Y n t a D
stundaðar	s t Y n t a D a r
stundaði	s t Y n t a D I
stundaður	s t Y n t a D Y r
stundi	s t Y n t I
stundin	s t Y n t I n
stundina	s t Y n t I n a
stundinni	s t Y n t I n I
stundir	s t Y n t I r
stundirnar	s t Y n t I r t n a r
stundu	s t Y n t Y
stundum	s t Y n t Y m
stundunum	s t Y n t O n Y m
stunduð	s t Y n t Y D
stunduðu	s t Y n t Y D Y
stundvíslega	s t Y n t v i s t l E G a
stunginn	s t u J c I n
stungið	s t u J c I D
stungu	s t u N k Y
stungulyfsins	s t u N k Y l I f s I n s
stungum	s t u N k Y m
stungust	s t u N k Y s t
stunum	s t Y: n Y m
stunur	s t Y: n Y r
stunurnar	s t Y: n Y r t n a r
sturla	s t Y r t l a
sturlast	s t Y r t l a s t
sturlaða	s t Y r t l a D a
sturlu	s t Y r t l Y
sturlun	s t Y r t l Y n
sturlunga	s t Y r t l Y N k a
sturlunganna	s t Y r t l Y N k a n a
sturlungu	s t Y r t l Y N k Y
sturlungum	s t Y r t l Y N k Y m
sturluð	s t Y r t l Y D
sturta	s t Y r_0 t a
sturtan	s t Y r_0 t a n
sturtað	s t Y r_0 t a D
sturtu	s t Y r_0 t Y
sturtufestinga	s t Y r_0 t Y f E s t i N k a
sturtuna	s t Y r_0 t Y n a
sturtunni	s t Y r_0 t Y n I
stutt	s t Y h t
stutta	s t Y h t a
stuttan	s t Y h t a n
stuttar	s t Y h t a r
stuttbuxurnar	s t Y h t p Y k s Y t n a r
stuttgart	s t u h t k a r_0 t
stuttir	s t Y h t I r
stuttklippt	s t Y h t k l I f t
stuttklippta	s t Y h t k l I f t a
stuttklipptur	s t Y h t k l I f t Y r
stuttri	s t Y h t r I
stuttu	s t Y h t Y
stuttum	s t Y h t Y m
stuttur	s t Y h t Y r
stuð	s t Y: D
stuða	s t Y: D a
stuði	s t Y: D I
stuðla	s t Y D l a
stuðlar	s t Y D l a r
stuðlað	s t Y D l a D
stuðlaði	s t Y D l a D I
stuðli	s t Y D l I
stuðmenn	s t Y D m E n
stuðning	s t Y D n i N k
stuðningi	s t Y D n i J c I
stuðninginn	s t Y D n i J c I n
stuðnings	s t Y D n i N s
stuðningurinn	s t Y D n i N k Y r I n
stuðst	s t Y D s t
stuðul	s t Y: D Y l
stuðullinn	s t Y: D Y t l I n
styddi	s t I t I
styddu	s t I t Y
styggja	s t I c a
styggðaryrði	s t I G D a r I r D I
stykki	s t I h c I
stykkinu	s t I h c I n Y
stykkishólm	s t I h c I s h ou l m
stykkishólmi	s t I h c I s h ou l m I
stykkishólms	s t I h c I s h ou l m s
stykkishólmur	s t I h c I s h ou l m Y r
stykkjum	s t I h c Y m
stynja	s t I n j a
styrjaldar	s t I r j a l t a r
styrjaldarinnar	s t I r j a l t a r I n a r
styrjaldir	s t I r j a l t I r
styrjöld	s t I r j 9 l t
styrjöldum	s t I r j 9 l t Y m
styrk	s t I r_0 k
styrkan	s t I r_0 k a n
styrkari	s t I r_0 k a r I
styrki	s t I r_0 c I
styrking	s t I r_0 c i N k
styrkingar	s t I r_0 c i N k a r
styrkingu	s t I r_0 c i N k Y
styrkinn	s t I r_0 c I n
styrkir	s t I r_0 c I r
styrkist	s t I r_0 c I s t
styrkja	s t I r_0 c a
styrkjandi	s t I r_0 c a n t I
styrkjast	s t I r_0 c a s t
styrkjum	s t I r_0 c Y m
styrkri	s t I r_0 k r I
styrks	s t I r_0 k s
styrkst	s t I r_0 s t
styrkt	s t I r_0 t
styrktar	s t I r_0 t a r
styrkti	s t I r_0 t I
styrktir	s t I r_0 t I r
styrktist	s t I r_0 t I s t
styrktu	s t I r_0 t Y
styrktur	s t I r_0 t Y r
styrkum	s t I r_0 k Y m
styrkur	s t I r_0 k Y r
styrkurinn	s t I r_0 k Y r I n
styrmir	s t I r m I r
styst	s t I s t
stysta	s t I s t a
stystu	s t I s t Y
stytt	s t I h t
stytta	s t I h t a
styttan	s t I h t a n
styttast	s t I h t a s t
stytti	s t I h t I
styttingi	s t I h t i J c I
styttingu	s t I h t i N k Y
styttingunni	s t I h t i N k Y n I
styttir	s t I h t I r
styttist	s t I h t I s t
styttra	s t I h t r a
styttri	s t I h t r I
styttu	s t I h t Y
styttum	s t I h t Y m
styttuna	s t I h t Y n a
styttunni	s t I h t Y n I
styttunum	s t I h t O n Y m
styttur	s t I h t Y r
stytturnar	s t I h t Y r t n a r
styð	s t I: D
styðja	s t I D j a
styðjast	s t I D j a s t
styðji	s t I D j I
styðjum	s t I D j Y m
styðjumst	s t I D j Y m s t
styðst	s t I D s t
styður	s t I: D Y r
stál	s t au: l
stálgráum	s t au l k r au Y m
stálhurðina	s t au: l h Y r D I n a
stáli	s t au: l I
stálinu	s t au: l I n Y
stálið	s t au: l I D
stáls	s t au l s
stálsköft	s t au l s k 9 f t
stálu	s t au: l Y
stálvilja	s t au l v I l j a
státa	s t au: t a
státar	s t au: t a r
státað	s t au: t a D
státaði	s t au: t a D I
stækja	s t ai: c a
stækka	s t ai h k a
stækkandi	s t ai h k a n t I
stækkar	s t ai h k a r
stækkað	s t ai h k a D
stækkaði	s t ai h k a D I
stækkaður	s t ai h k a D Y r
stækki	s t ai h c I
stækkun	s t ai h k Y n
stækkunar	s t ai h k Y n a r
stækkunarglerinu	s t ai h k Y n a r k l E: r I n Y
stækkunarglerið	s t ai h k Y n a r k l E: r I D
stækkunarinnar	s t ai h k Y n a r I n a r
stækkunina	s t ai h k Y n I n a
stækkuð	s t ai h k Y D
stækkuðu	s t ai h k Y D Y
stæl	s t ai: l
stæla	s t ai: l a
stælta	s t ai l_0 t a
stæltir	s t ai l_0 t I r
stæltur	s t ai l_0 t Y r
stæra	s t ai: r a
stærilæti	s t ai: r I l ai: t I
stærra	s t ai r a
stærri	s t ai r I
stærst	s t ai r_0 s t
stærsti	s t ai r_0 s t I
stærstur	s t ai r_0 s t Y r
stært	s t ai r_0 t
stærð	s t ai r D
stærðar	s t ai r D a r
stærðarinnar	s t ai r D a r I n a r
stærðfræði	s t ai r_0 f r ai D I
stærðfræðinnar	s t ai r_0 f r ai D I n a r
stærði	s t ai r D I
stærðin	s t ai r D I n
stærðinni	s t ai r D I n I
stærðir	s t ai r D I r
stærðum	s t ai r D Y m
stætt	s t ai h t
stæði	s t ai: D I
stæðinu	s t ai: D I n Y
stæðist	s t ai: D I s t
stæðið	s t ai: D I D
stæðu	s t ai: D Y
stæðum	s t ai: D Y m
stæðust	s t ai: D Y s t
sté	s t j E:
stél	s t j E: l
stétt	s t j E h t
stétta	s t j E h t a
stéttar	s t j E h t a r
stéttarinnar	s t j E h t a r I n a r
stéttina	s t j E h t I n a
stéttinni	s t j E h t I n I
stéttir	s t j E h t I r
stéttum	s t j E h t Y m
stíf	s t i: v
stífa	s t i: v a
stífan	s t i: v a n
stífar	s t i: v a r
stífbrakandi	s t i: v p r a k a n t I
stífir	s t i: v I r
stífkrampa	s t i: v k_h r a m_0 p a
stífla	s t i p l a
stíflan	s t i p l a n
stíflað	s t i p l a D
stíflu	s t i p l Y
stíflur	s t i p l Y r
stífna	s t i p n a
stífnaði	s t i p n a D I
stífpressuðum	s t i v p r E s Y D Y m
stíft	s t i f t
stífu	s t i: v Y
stífum	s t i: v Y m
stífun	s t i: v Y n
stífuna	s t i: v Y n a
stífur	s t i: v Y r
stífuð	s t i: v Y D
stífuðum	s t i: v Y D Y m
stíg	s t i: G
stígandi	s t i: G a n t I
stígar	s t i: G a r
stíginn	s t i: j I n
stígnum	s t i k n Y m
stígsson	s t i x s O n
stígur	s t i: G Y r
stígvél	s t i G v j E l
stígvélin	s t i G v j E l I n
stígvélinu	s t i G v j E l I n Y
stígvélið	s t i G v j E l I D
stígvélum	s t i G v j E l Y m
stíl	s t i: l
stíla	s t i: l a
stílabókina	s t i: l a p ou: c I n a
stílabókunum	s t i: l a p ou: k O n Y m
stílað	s t i: l a D
stílinn	s t i: l I n
stíll	s t i t l_0
stíllinn	s t i t l I n
stílnum	s t i l n Y m
stíluð	s t i: l Y D
stímabraki	s t i: m a p r a: c I
stína	s t i: n a
stínu	s t i: n Y
stírurnar	s t i: r Y r t n a r
stól	s t ou: l
stóla	s t ou: l a
stólana	s t ou: l a n a
stólar	s t ou: l a r
stólarnir	s t ou: l a r t n I r
stólbakið	s t ou l p a c I D
stóli	s t ou: l I
stólinn	s t ou: l I n
stólkoll	s t ou l k O t l_0
stóll	s t ou t l_0
stóllinn	s t ou t l I n
stólnum	s t ou l n Y m
stólpa	s t ou l_0 p a
stólpum	s t ou l_0 p Y m
stólum	s t ou: l Y m
stólunum	s t ou: l O n Y m
stór	s t ou: r
stóra	s t ou: r a
stóran	s t ou: r a n
stórar	s t ou: r a r
stóraukin	s t ou: r 9Y c I n
stóraukist	s t ou: r 9Y c I s t
stóraukið	s t ou: r 9Y c I D
stórborga	s t ou r p O r k a
stórborgarinnar	s t ou r p O r k a r I n a r
stórborginni	s t ou r p O r c I n I
stórborgunum	s t ou r p O r k O n Y m
stórbrotin	s t ou r p r O t I n
stórbrotið	s t ou r p r O t I D
stórbrotna	s t ou r p r O h t n a
stórbrotnu	s t ou r p r O h t n Y
stóreflis	s t ou: r E p l I s
stóreyg	s t ou: r ei G
stórfellda	s t ou r_0 f E l t a
stórfellt	s t ou r_0 f E l_0 t
stórfengleg	s t ou r_0 f ei N k l E G
stórfenglega	s t ou r_0 f ei N k l E G a
stórfenglegt	s t ou r_0 f ei N k l E x t
stórfenglegu	s t ou r_0 f ei N k l E G Y
stórfé	s t ou r_0 f j E
stórglæsileg	s t ou r k l ai s I l E k
stórhrifinn	s t ou r_0 I v I n
stórhátíðir	s t ou: r h au: t i D I r
stórhátíðum	s t ou: r h au: t i D Y m
stórhættulegt	s t ou: r h ai h t Y l E x t
stórhýsi	s t ou: r h i s I
stóri	s t ou: r I
stórir	s t ou: r I r
stórmarkaða	s t ou r m a r_0 k a D a
stórmeistaranum	s t ou r m ei s t a r a n Y m
stórmeistarinn	s t ou r m ei s t a r I n
stórmerkilegt	s t ou r m E r_0 c I l E x t
stórra	s t ou r a
stórrar	s t ou r a r
stórri	s t ou r I
stórs	s t ou r_0 s
stórsegl	s t ou r_0 s E k l_0
stórskrítinn	s t ou r_0 s k r i t I n
stórstúka	s t ou r_0 s t u k a
stórsvigi	s t ou r_0 s v i j I
stórt	s t ou r_0 t
stóru	s t ou: r Y
stórum	s t ou: r Y m
stóð	s t ou: D
stóðhesta	s t ou: D h E s t a
stóðst	s t ou D s t
stóðu	s t ou: D Y
stóðum	s t ou: D Y m
stóðust	s t ou: D Y s t
stödd	s t 9 t
stöddu	s t 9 t Y
stöflum	s t 9 p l Y m
stöfum	s t 9: v Y m
stöfunum	s t 9: v O n Y m
stöfuðu	s t 9: v Y D Y
stök	s t 9: k
stökk	s t 9 h k
stökki	s t 9 h c I
stökkið	s t 9 h c I D
stökkt	s t 9 x t
stökku	s t 9 h k Y
stökkum	s t 9 h k Y m
stökkva	s t 9 h k v a
stöku	s t 9: k Y
stöldruðu	s t 9 l t r Y D Y
stöllum	s t 9 t l Y m
stöllur	s t 9 t l Y r
stöllurnar	s t 9 t l Y r t n a r
stöndum	s t 9 n t Y m
stöndumst	s t 9 n t Y m s t
stöng	s t 9Y N k
stöngin	s t 9Y J c I n
stöngina	s t 9Y J c I n a
stönginni	s t 9Y J c I n I
stönsuðu	s t 9 n s Y D Y
stöplarit	s t 9 p l a r I: t
stöppuna	s t 9 h p Y n a
stöppuðu	s t 9 h p Y D Y
störf	s t 9 r v
störfin	s t 9 r v I n
störfum	s t 9 r v Y m
störfuðu	s t 9 r v Y D Y
störfuðum	s t 9 r v Y D Y m
störum	s t 9: r Y m
störðu	s t 9 r D Y
stöð	s t 9: D
stöðin	s t 9: D I n
stöðina	s t 9: D I n a
stöðinni	s t 9: D I n I
stöðlakot	s t 9 D l a k O: t
stöðlum	s t 9 D l Y m
stöðlunina	s t 9 D l Y n I n a
stöðluð	s t 9 D l Y D
stöðluðu	s t 9 D l Y D Y
stöðluðum	s t 9 D l Y D Y m
stöðnun	s t 9 D n Y n
stöðnuð	s t 9 D n Y D
stöðu	s t 9: D Y
stöðug	s t 9: D Y G
stöðuga	s t 9: D Y G a
stöðugan	s t 9: D Y G a n
stöðugar	s t 9: D Y G a r
stöðugleikann	s t 9: D Y G l ei: k a n
stöðugra	s t 9: D Y G r a
stöðugri	s t 9: D Y G r I
stöðugt	s t 9: D Y x t
stöðugu	s t 9: D Y G Y
stöðugum	s t 9: D Y G Y m
stöðugur	s t 9: D Y G Y r
stöðum	s t 9: D Y m
stöðuna	s t 9: D Y n a
stöðunni	s t 9: D Y n I
stöðunum	s t 9: D O n Y m
stöður	s t 9: D Y r
stöðuvatnið	s t 9: D Y v a h t n I D
stöðuvötnin	s t 9: D Y v 9 h t n I n
stöðva	s t 9 D v a
stöðvanna	s t 9 D v a n a
stöðvar	s t 9 D v a r
stöðvarfjörður	s t 9 D v a r f j 9 r D Y r
stöðvarinnar	s t 9 D v a r I n a r
stöðvarnar	s t 9 D v a r t n a r
stöðvast	s t 9 D v a s t
stöðvað	s t 9 D v a D
stöðvaðar	s t 9 D v a D a r
stöðvaði	s t 9 D v a D I
stöðvaðist	s t 9 D v a D I s t
stöðvaður	s t 9 D v a D Y r
stöðvum	s t 9 D v Y m
stöðvun	s t 9 D v Y n
stöðvunum	s t 9 D v O n Y m
stöðvuð	s t 9 D v Y D
stöðvuðu	s t 9 D v Y D Y
stöðvuðust	s t 9 D v Y D Y s t
